finalSentID,FinalWord,finalNER,finalPOS,finalTrueLabel
0,One,O,CD,O
0,is,B-relevant_term,VBZ,O
0,to,B-relevant_term,TO,O
0,send,O,NN,B-Action
0,spear,O,NN,B-Entity
0,phishing,O,VBG,I-Entity
0,emails,O,NNS,I-Entity
0,",",O,",",O
0,where,O,WRB,O
0,a,O,DT,B-Entity
0,link,O,NN,I-Entity
0,to,B-relevant_term,TO,I-Entity
0,a,O,DT,I-Entity
0,malicious,O,JJ,I-Entity
0,website,O,NN,I-Entity
0,or,O,CC,I-Entity
0,a,O,DT,I-Entity
0,malicious,O,JJ,I-Entity
0,attachment,O,NN,I-Entity
0,is,B-relevant_term,VBZ,B-Action
0,delivered,O,VBN,I-Action
0,using,B-malware.drop,VBG,B-Modifier
0,social,O,JJ,B-Entity
0,engineering,O,NN,I-Entity
0,techniques,O,NNS,I-Entity
0,.,O,.,O
1,The,O,DT,B-Entity
1,second,O,JJ,I-Entity
1,method,O,NN,I-Entity
1,",",O,",",O
1,which,O,WDT,O
1,is,B-relevant_term,VBZ,O
1,gaining,O,VBG,O
1,traction,O,NN,O
1,",",O,",",O
1,is,B-relevant_term,VBZ,B-Action
1,watering,O,VBG,B-Entity
1,hole,O,NN,I-Entity
1,attacks,O,NNS,I-Entity
1,",",O,",",O
1,where,O,WRB,O
1,the,O,DT,B-Entity
1,attacker,O,NN,I-Entity
1,infects,O,NNS,B-Action
1,a,O,DT,B-Entity
1,website,O,NN,I-Entity
1,that,B-malware.backdoor,IN,I-Entity
1,has,I-malware.backdoor,VBZ,I-Entity
1,a,O,DT,I-Entity
1,high,O,JJ,I-Entity
1,likelihood,O,NN,I-Entity
1,of,B-malware.backdoor,IN,I-Entity
1,being,O,VBG,I-Entity
1,visited,O,VBN,I-Entity
1,by,O,IN,I-Entity
1,the,O,DT,I-Entity
1,intended,O,VBN,I-Entity
1,victim,O,NN,I-Entity
1,.,O,.,O
2,By,O,IN,O
2,using,B-malware.drop,VBG,B-Action
2,IP,O,NN,B-Entity
2,address,O,NN,I-Entity
2,filters,O,NNS,I-Entity
2,before,O,IN,B-Modifier
2,infecting,O,VBG,B-Entity
2,any,B-malware.backdoor,DT,I-Entity
2,visitor,B-malware.backdoor,NN,I-Entity
2,of,B-malware.backdoor,IN,I-Entity
2,such,O,JJ,I-Entity
2,sites,O,NNS,I-Entity
2,",",O,",",O
2,the,O,DT,B-Entity
2,attacker,O,NN,I-Entity
2,can,O,MD,O
2,reduce,O,VB,O
2,the,O,DT,O
2,number,O,NN,O
2,of,B-malware.backdoor,IN,O
2,infected,O,VBN,O
2,systems,O,NNS,O
2,and,O,CC,O
2,bring,O,NN,O
2,it,O,PRP,O
2,to,B-relevant_term,TO,O
2,a,O,DT,O
2,manageable,O,JJ,O
2,quantity,O,NN,O
2,which,O,WDT,O
2,can,O,MD,O
2,be,O,VB,O
2,assessed,O,VBN,O
2,manually,B-malware.backdoor,RB,O
2,at,O,IN,O
2,another,O,DT,O
2,time,O,NN,O
2,.,O,.,O
3,Some,O,DT,B-Entity
3,groups,O,NNS,I-Entity
3,carefully,O,RB,O
3,plan,O,NN,B-Action
3,watering,O,VBG,B-Entity
3,hole,O,NN,I-Entity
3,attacks,O,NNS,I-Entity
3,.,O,.,O
4,A,O,DT,O
4,few,O,JJ,O
4,days,O,NNS,O
4,later,O,RB,O
4,the,O,DT,B-Entity
4,group,O,NN,I-Entity
4,resumed,O,VBD,B-Action
4,the,O,DT,B-Entity
4,watering,O,VBG,I-Entity
4,hole,O,NN,I-Entity
4,attack,O,NN,I-Entity
4,again,O,RB,O
4,",",O,",",O
4,this,O,DT,O
4,time,O,NN,O
4,using,B-malware.drop,VBG,B-Modifier
4,a,O,DT,B-Entity
4,different,B-vendor,JJ,I-Entity
4,exploit,B-application,NN,I-Entity
4,.,O,.,O
5,These,O,DT,O
5,can,O,MD,O
5,be,O,VB,O
5,performed,O,VBN,O
5,either,B-relevant_term,DT,O
5,at,O,IN,O
5,the,O,DT,O
5,same,O,JJ,O
5,physical,O,JJ,O
5,location,O,NN,O
5,",",O,",",O
5,posing,O,VBG,B-Action
5,as,O,IN,B-Modifier
5,a,O,DT,B-Entity
5,genuine,O,NN,I-Entity
5,Wi-Fi,O,JJ,I-Entity
5,hotspot,O,NN,I-Entity
5,or,O,CC,O
5,through,O,IN,O
5,supply,O,NN,O
5,chain,O,NN,O
5,attacks,O,NNS,O
5,.,O,.,O
6,This,O,DT,O
6,can,O,MD,O
6,enable,O,JJ,O
6,the,O,DT,B-Entity
6,attacker,O,NN,I-Entity
6,to,B-relevant_term,TO,O
6,swap,O,NN,B-Action
6,an,B-hash,DT,B-Entity
6,update,O,NN,I-Entity
6,of,B-malware.backdoor,IN,I-Entity
6,legitimate,O,NN,I-Entity
6,software,O,NN,I-Entity
6,for,O,IN,B-Modifier
6,a,O,DT,B-Entity
6,maliciously,O,RB,I-Entity
6,crafted,O,VBN,I-Entity
6,version,O,NN,I-Entity
6,.,O,.,O
7,Once,O,RB,B-Modifier
7,the,O,DT,B-Entity
7,victim,O,NN,I-Entity
7,installs,O,NNS,I-Entity
7,the,O,DT,I-Entity
7,genuine,O,NN,I-Entity
7,looking,O,VBG,I-Entity
7,update,O,NN,I-Entity
7,",",O,",",O
7,the,O,DT,B-Entity
7,attacker,O,NN,I-Entity
7,effectively,O,RB,O
7,gains,O,NNS,B-Action
7,control,O,NN,B-Entity
7,over,O,IN,I-Entity
7,the,O,DT,I-Entity
7,computer,B-os,NN,I-Entity
7,.,O,.,O
8,Sometimes,O,RB,O
8,a,O,DT,B-Entity
8,regular,O,JJ,I-Entity
8,off-the-shelf,O,NN,I-Entity
8,back,O,RB,I-Entity
8,door,O,NN,I-Entity
8,Trojan,O,NN,I-Entity
8,is,B-relevant_term,VBZ,B-Action
8,used,O,VBN,I-Action
8,.,O,.,O
9,With,O,IN,O
9,more,B-relevant_term,RBR,O
9,specialized,O,JJ,O
9,teams,O,NNS,O
9,of,B-malware.backdoor,IN,O
9,attackers,O,NNS,O
9,",",O,",",O
9,we,O,PRP,O
9,can,O,MD,O
9,often,O,RB,O
9,observe,O,NN,O
9,that,B-malware.backdoor,IN,O
9,the,O,DT,B-Entity
9,infected,O,VBN,I-Entity
9,system,O,NN,I-Entity
9,is,B-relevant_term,VBZ,B-Action
